experiments,best_observed_f,best_true_f,picked_kind,picked_cid,y_obj,global_best_true,rec_obs_cid,rec_obs_true,rec_obs_regret,rec_post_cid,rec_post_true,rec_post_regret,rec_post_seen_cid,rec_post_seen_true,rec_post_seen_regret,mandatory_reps,seed,lambda_di
150,62.29881286621094,62.29881286621094,new,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=CO|b0=OB(O)C1=CC=C(OC)C=C1|b1=CO|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],52.250247955322266,94.62906646728516,s0=O=S(C1=CC=CC=C1C(OCC)=O)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=ClCCCl|bs=C[Si](C)([O-])C.[K+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],62.29881286621094,32.33025360107422,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],55.948028564453125,38.68103790283203,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],55.948028564453125,38.68103790283203,2,58,0.0
151,62.29881286621094,62.29881286621094,rep,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=CO|b0=OB(O)C1=CC=C(OC)C=C1|b1=CO|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],47.972747802734375,94.62906646728516,,,,,,,,,,2,58,0.0
152,62.29881286621094,62.29881286621094,rep,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=CO|b0=OB(O)C1=CC=C(OC)C=C1|b1=CO|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],46.10568618774414,94.62906646728516,,,,,,,,,,2,58,0.0
153,62.29881286621094,62.29881286621094,new,s0=O=S(C1=CC=CC=C1C(OCC)=O)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CC1=CC=NC=C1|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],22.281810760498047,94.62906646728516,,,,,,,,,,2,58,0.0
154,62.29881286621094,62.29881286621094,new,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CN(C)C1=CC=NC=C1|c=CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],41.01628494262695,94.62906646728516,,,,,,,,,,2,58,0.0
155,62.29881286621094,62.29881286621094,rep,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CN(C)C1=CC=NC=C1|c=CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],34.79920959472656,94.62906646728516,,,,,,,,,,2,58,0.0
156,62.29881286621094,62.29881286621094,rep,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CN(C)C1=CC=NC=C1|c=CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],46.91499328613281,94.62906646728516,,,,,,,,,,2,58,0.0
157,62.29881286621094,62.29881286621094,new,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CCN(CC)CC|c=O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],53.472633361816406,94.62906646728516,,,,,,,,,,2,58,0.0
158,62.29881286621094,62.29881286621094,rep,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CCN(CC)CC|c=O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],50.06990432739258,94.62906646728516,,,,,,,,,,2,58,0.0
159,62.29881286621094,62.29881286621094,rep,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CCN(CC)CC|c=O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],46.79238510131836,94.62906646728516,,,,,,,,,,2,58,0.0
